dataset,split,epoch,scenario,map50,map50_95,selection,source
ivcnz,validation,1,mean_motion_defocus_lowlight,0.24963478989805257,0.09016865865689012,,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
ivcnz,validation,2,mean_motion_defocus_lowlight,0.2512966513242592,0.09054340307250801,,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
ivcnz,validation,3,mean_motion_defocus_lowlight,0.25253872223184054,0.09039698701166171,,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
ivcnz,validation,4,mean_motion_defocus_lowlight,0.2527326616084377,0.09094258468812111,,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
ivcnz,validation,5,mean_motion_defocus_lowlight,0.2515391534476759,0.09067458184808384,,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
ivcnz,validation,6,mean_motion_defocus_lowlight,0.25298871925732486,0.09075739729795858,selected,runs\detection_eval_v24_val\pothole_v24_epoch_selection.csv
pcm,validation,1,mean_motion_defocus_lowlight,0.27793169222639136,0.10977050794485164,,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
pcm,validation,2,mean_motion_defocus_lowlight,0.27909442885910235,0.11066961447735445,selected,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
pcm,validation,3,mean_motion_defocus_lowlight,0.27879600371696406,0.11074500545383098,,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
pcm,validation,4,mean_motion_defocus_lowlight,0.2781684003746625,0.1117335690944552,,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
pcm,validation,5,mean_motion_defocus_lowlight,0.2786203424708767,0.10959177092580334,,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
pcm,validation,6,mean_motion_defocus_lowlight,0.2780254439405736,0.11068551353344136,,runs\detection_eval_v24_pcm_val\pcm_v24_epoch_selection.csv
ivcnz,heldout_test_raw_restored,6,motion,0.23316003809555813,0.0882059012631091,test_after_val_selection,runs\detection_eval_v24_test\pothole_v24_epoch006_test.csv
ivcnz,heldout_test_raw_restored,6,defocus,0.15724560016632388,0.06093876687070863,test_after_val_selection,runs\detection_eval_v24_test\pothole_v24_epoch006_test.csv
ivcnz,heldout_test_raw_restored,6,lowlight,0.3403560384600496,0.1355210764706724,test_after_val_selection,runs\detection_eval_v24_test\pothole_v24_epoch006_test.csv
pcm,heldout_test_raw_restored,2,motion,0.3030194760518794,0.1203882178015204,test_after_val_selection,runs\detection_eval_v24_pcm_test\pcm_v24_epoch002_test.csv
pcm,heldout_test_raw_restored,2,defocus,0.2699624469686259,0.10454717460457173,test_after_val_selection,runs\detection_eval_v24_pcm_test\pcm_v24_epoch002_test.csv
pcm,heldout_test_raw_restored,2,lowlight,0.413535452884987,0.17617833224857535,test_after_val_selection,runs\detection_eval_v24_pcm_test\pcm_v24_epoch002_test.csv
ivcnz,heldout_test_validation_tuned_policy,6,lowlight,0.3764938338166316,0.14986756740805943,policy_tuned_on_validation_only,runs\residual_policy_v24\pothole_lowlight_v24_summary.json
pcm,heldout_test_validation_tuned_policy,2,lowlight,0.4144773463375649,0.1767714535920347,policy_tuned_on_validation_only,runs\residual_policy_v24\pcm_lowlight_v24_summary.json
